variable_estandar,tipo_dato,descripcion,datasets_presentes,columnas_origen
nombre_iiee,string,Variable estandarizada para análisis descriptivo.,educ_basica,educ_basica:NOMBRE IIEE
nombre_institucion,string,Variable estandarizada para análisis descriptivo.,educ_institutos,educ_institutos:NOMBRE DE LA INSTITUCIÓN
nro_diag,Int64,Variable estandarizada para análisis descriptivo.,salud_atenciones,salud_atenciones:NroDiag
num_reg_afis,object,Variable estandarizada para análisis descriptivo.,salud_afiliados,salud_afiliados:afi_numregafis
ocupacion_actual,string,Variable de encuesta: ocupacion actual.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:ocupacion_actual
ocupacion_madre,string,Variable estandarizada para análisis descriptivo.,educ_basica,educ_basica:OCUPACION MADRE
ocupacion_padre,string,Variable estandarizada para análisis descriptivo.,educ_basica,educ_basica:OCUPACION PADRE
organismos_estado_apoyo,string,Variable de encuesta: organismos estado apoyo.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:organismos_estado_apoyo
organizaciones_apoyo_ong,string,Variable de encuesta: organizaciones apoyo ong.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:organizaciones_apoyo_ong
pais,string,Variable estandarizada para análisis descriptivo.,educ_institutos,educ_institutos:PAIS
pais_procedencia,string,Variable estandarizada para análisis descriptivo.,educ_superior_programas,educ_superior_programas:PAIS QUE PROCEDE
pais_remesas,string,Variable de encuesta: pais remesas.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:pais_remesas
percibe_discriminacion_laboral,string,Variable de encuesta: percibe discriminacion laboral.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:percibe_discriminacion_laboral
periodo,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Período
periodo_ingreso,string,Variable estandarizada para análisis descriptivo.,educ_institutos,educ_institutos:PERIODO ACADÉMICO DE INGRESO
periodo_lectivo,string,Variable estandarizada para análisis descriptivo.,educ_superior_programas,educ_superior_programas:PERIODO LECTIVO
permanencia_cusco_bin,Float64,Indicador binario de plan de permanencia en la provincia del Cusco (1=Sí).,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:permanencia_cusco_bin
permiso_migratorio_actual,string,Tipo de permiso migratorio actual para permanencia en Perú.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:permiso_migratorio_actual
profesion,string,Variable estandarizada para análisis descriptivo.,migraciones_residencia,migraciones_residencia:Profesión
programa_estudios,string,Variable estandarizada para análisis descriptivo.,educ_superior_programas,educ_superior_programas:PROGRAMA  DE ESTUDIOS
provincia,string,Provincia de residencia/registro en Cusco.,educ_basica; educ_institutos; educ_superior_programas; migraciones_residencia; salud_afiliados; salud_atenciones,educ_basica:PROVINCIA; educ_institutos:PROVINCIA; educ_superior_programas:PROVINCIA; migraciones_residencia:Provincia; salud_afiliados:pre_provincia; salud_atenciones:Provincia
puesto_control,string,Variable estandarizada para análisis descriptivo.,migraciones_residencia,migraciones_residencia:Puesto de Control
quintil,int64,Variable estandarizada para análisis descriptivo.,salud_afiliados,salud_afiliados:pre_Quintil
rango_salarial,string,Variable estandarizada para análisis descriptivo.,migraciones_residencia,migraciones_residencia:Rangos Salariales
rango_tiempo_permanencia,string,Variable estandarizada para análisis descriptivo.,migraciones_residencia,migraciones_residencia:Rangos Tiempos de Permanencia
recibio_apoyo_ong,string,Indica si recibió apoyo de cooperación internacional (ONG).,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:recibio_apoyo_ong
red_abrev,string,Variable estandarizada para análisis descriptivo.,salud_afiliados,salud_afiliados:red_abrev
regimen_especial_trabajo,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Régimen Especial de Trabajo
regimen_laboral,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Régimen laboral
regimen_pensionario,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Régimen pensionario
regimen_salud,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Régimen de salud
region,string,Variable estandarizada para análisis descriptivo.,educ_institutos,educ_institutos:REGIÓN
remesas_bin,Float64,Indicador binario de envío de remesas (1=Sí).,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:remesas_bin
remuneracion_soles,float64,Remuneración mensual declarada en soles.,mtpe_empleo,"mtpe_empleo:Remuneración 
(Soles)"
residencia_proximos_anios,string,Lugar donde planea residir en los próximos años.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:residencia_proximos_anios
satisfaccion_alta_bin,Float64,Indicador binario de satisfacción laboral alta (1=Satisfecho/Muy satisfecho).,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:satisfaccion_alta_bin
satisfaccion_laboral,string,Nivel de satisfacción con trabajo actual.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:satisfaccion_laboral
seccion,string,Variable estandarizada para análisis descriptivo.,educ_institutos,educ_institutos:SECCIÓN
seguro_salud,string,Tipo de afiliación actual al sistema de salud.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:seguro_salud
semestre,string,Variable estandarizada para análisis descriptivo.,educ_superior_programas,educ_superior_programas:SEMESTRE
servicio_codigo,Int64,Variable estandarizada para análisis descriptivo.,salud_atenciones,salud_atenciones:Servicio
servicio_descripcion,string,Descripción del servicio de salud brindado.,salud_atenciones,salud_atenciones:SER_DESCRIPCION
sexo,str,Sexo normalizado (F/M).,educ_basica; educ_institutos; educ_superior_programas; migraciones_residencia; salud_afiliados; salud_atenciones,educ_basica:SEXO; educ_institutos:SEXO; educ_superior_programas:SEXO; migraciones_residencia:Sexo; salud_afiliados:Sexo; salud_atenciones:Sexo
sexo,string,Sexo declarado por la persona encuestada.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:sexo
sexo_madre,string,Variable estandarizada para análisis descriptivo.,educ_basica,educ_basica:SEXO MADRE
sexo_padre,string,Variable estandarizada para análisis descriptivo.,educ_basica,educ_basica:SEXO PADRE
sindicalizado,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Sindicalizado
situacion_discapacidad,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Situación de Discapacidad
situacion_economica_vs_llegada,string,Variable de encuesta: situacion economica vs llegada.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:situacion_economica_vs_llegada
situacion_laboral,string,Situación laboral actual de la persona encuestada.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:situacion_laboral
solicito_refugio,string,Situación de solicitud o reconocimiento de refugio.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:solicito_refugio
subfuente,str,Subconjunto o módulo específico de la fuente.,educ_basica; educ_institutos; educ_superior_programas; migraciones_residencia; mtpe_empleo; salud_afiliados; salud_atenciones,
subfuente,string,Variable de encuesta: subfuente.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:subfuente
tamano_empresa,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Tamaño de empresa
tiempo_en_empleo_actual,string,Variable de encuesta: tiempo en empleo actual.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:tiempo_en_empleo_actual
tiene_hijos,string,Variable de encuesta: tiene hijos.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:tiene_hijos
tipo_asistencia_ong,string,Tipos de asistencia humanitaria recibida.,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:tipo_asistencia_ong
tipo_contrato,string,Variable estandarizada para análisis descriptivo.,mtpe_empleo,mtpe_empleo:Tipo de contrato
tipo_empleo,string,Tipo de empleo actual (formal/informal/independiente).,encuesta_comunidad_venezolana,encuesta_comunidad_venezolana:tipo_empleo
